node_id,community
524.0,0
525.0,0
526.0,0
20.0,0
21.0,0
22.0,0
23.0,0
24.0,0
25.0,0
538.0,0
26.0,0
27.0,0
539.0,0
28.0,0
31.0,0
30.0,0
29.0,0
547.0,0
548.0,0
549.0,0
550.0,0
51.0,0
52.0,0
53.0,0
54.0,0
573.0,0
574.0,0
64.0,0
577.0,0
578.0,0
579.0,0
69.0,0
70.0,0
71.0,0
72.0,0
73.0,0
74.0,0
75.0,0
76.0,0
583.0,0
78.0,0
77.0,0
589.0,0
593.0,0
590.0,0
608.0,0
609.0,0
611.0,0
612.0,0
614.0,0
616.0,0
628.0,0
631.0,0
120.0,0
121.0,0
634.0,0
635.0,0
638.0,0
639.0,0
640.0,0
641.0,0
649.0,0
650.0,0
656.0,0
657.0,0
658.0,0
147.0,0
148.0,0
149.0,0
150.0,0
663.0,0
153.0,0
154.0,0
155.0,0
156.0,0
160.0,0
161.0,0
162.0,0
163.0,0
164.0,0
165.0,0
166.0,0
689.0,0
690.0,0
691.0,0
177.0,0
178.0,0
179.0,0
695.0,0
696.0,0
697.0,0
180.0,0
187.0,0
186.0,0
189.0,0
190.0,0
701.0,0
702.0,0
185.0,0
188.0,0
196.0,0
197.0,0
203.0,0
204.0,0
208.0,0
209.0,0
210.0,0
211.0,0
212.0,0
720.0,0
214.0,0
215.0,0
216.0,0
217.0,0
220.0,0
221.0,0
751.0,0
752.0,0
761.0,0
257.0,0
259.0,0
260.0,0
261.0,0
773.0,0
262.0,0
777.0,0
800.0,0
291.0,0
292.0,0
293.0,0
294.0,0
295.0,0
296.0,0
297.0,0
298.0,0
814.0,0
324.0,0
327.0,0
346.0,0
347.0,0
348.0,0
357.0,0
581.0,0
582.0,0
374.0,0
375.0,0
380.0,0
381.0,0
382.0,0
383.0,0
384.0,0
387.0,0
388.0,0
391.0,0
392.0,0
394.0,0
395.0,0
396.0,0
397.0,0
402.0,0
403.0,0
404.0,0
405.0,0
406.0,0
407.0,0
408.0,0
409.0,0
412.0,0
413.0,0
414.0,0
431.0,0
455.0,0
456.0,0
457.0,0
458.0,0
459.0,0
478.0,0
480.0,0
486.0,0
487.0,0
488.0,0
490.0,0
491.0,0
518.0,1
527.0,1
528.0,1
529.0,1
544.0,1
545.0,1
546.0,1
554.0,1
560.0,1
561.0,1
562.0,1
563.0,1
565.0,1
566.0,1
591.0,1
592.0,1
599.0,1
90.0,1
91.0,1
92.0,1
93.0,1
94.0,1
95.0,1
604.0,1
605.0,1
606.0,1
96.0,1
98.0,1
97.0,1
607.0,1
620.0,1
621.0,1
110.0,1
623.0,1
111.0,1
112.0,1
630.0,1
636.0,1
637.0,1
642.0,1
643.0,1
644.0,1
131.0,1
137.0,1
138.0,1
139.0,1
140.0,1
653.0,1
654.0,1
141.0,1
142.0,1
652.0,1
651.0,1
667.0,1
668.0,1
169.0,1
170.0,1
686.0,1
687.0,1
175.0,1
239.0,1
749.0,1
703.0,1
192.0,1
201.0,1
722.0,1
723.0,1
736.0,1
737.0,1
738.0,1
739.0,1
740.0,1
236.0,1
237.0,1
238.0,1
750.0,1
240.0,1
241.0,1
754.0,1
242.0,1
756.0,1
757.0,1
758.0,1
247.0,1
243.0,1
246.0,1
762.0,1
248.0,1
764.0,1
763.0,1
254.0,1
255.0,1
256.0,1
249.0,1
774.0,1
775.0,1
265.0,1
266.0,1
782.0,1
783.0,1
273.0,1
274.0,1
787.0,1
788.0,1
789.0,1
798.0,1
799.0,1
286.0,1
805.0,1
806.0,1
300.0,1
301.0,1
303.0,1
816.0,1
304.0,1
305.0,1
339.0,1
349.0,1
350.0,1
351.0,1
352.0,1
353.0,1
363.0,1
364.0,1
365.0,1
366.0,1
367.0,1
398.0,1
399.0,1
419.0,1
420.0,1
421.0,1
422.0,1
423.0,1
424.0,1
425.0,1
441.0,1
442.0,1
443.0,1
444.0,1
448.0,1
449.0,1
450.0,1
460.0,1
461.0,1
462.0,1
463.0,1
464.0,1
465.0,1
466.0,1
467.0,1
468.0,1
469.0,1
470.0,1
471.0,1
482.0,1
483.0,1
484.0,1
494.0,1
495.0,1
504.0,1
505.0,1
507.0,1
512.0,2
1.0,2
2.0,2
3.0,2
513.0,2
519.0,2
14.0,2
15.0,2
16.0,2
17.0,2
18.0,2
19.0,2
532.0,2
533.0,2
530.0,2
531.0,2
534.0,2
535.0,2
564.0,2
567.0,2
568.0,2
569.0,2
570.0,2
571.0,2
572.0,2
597.0,2
598.0,2
99.0,2
100.0,2
101.0,2
102.0,2
103.0,2
104.0,2
105.0,2
106.0,2
107.0,2
108.0,2
622.0,2
117.0,2
118.0,2
119.0,2
645.0,2
646.0,2
655.0,2
669.0,2
670.0,2
671.0,2
672.0,2
688.0,2
704.0,2
705.0,2
741.0,2
742.0,2
743.0,2
744.0,2
755.0,2
244.0,2
245.0,2
258.0,2
772.0,2
776.0,2
267.0,2
780.0,2
269.0,2
270.0,2
271.0,2
784.0,2
272.0,2
268.0,2
275.0,2
276.0,2
277.0,2
278.0,2
279.0,2
280.0,2
281.0,2
794.0,2
795.0,2
804.0,2
811.0,2
812.0,2
302.0,2
817.0,2
306.0,2
307.0,2
308.0,2
309.0,2
315.0,2
316.0,2
317.0,2
318.0,2
319.0,2
320.0,2
321.0,2
322.0,2
323.0,2
340.0,2
341.0,2
342.0,2
343.0,2
344.0,2
345.0,2
781.0,2
368.0,2
369.0,2
370.0,2
371.0,2
372.0,2
373.0,2
400.0,2
401.0,2
426.0,2
445.0,2
446.0,2
447.0,2
472.0,2
473.0,2
474.0,2
475.0,2
476.0,2
477.0,2
498.0,2
499.0,2
500.0,2
501.0,2
502.0,2
503.0,2
506.0,2
508.0,2
509.0,2
510.0,2
511.0,2
540.0,3
541.0,3
32.0,3
33.0,3
34.0,3
35.0,3
36.0,3
37.0,3
38.0,3
39.0,3
551.0,3
40.0,3
42.0,3
41.0,3
43.0,3
44.0,3
45.0,3
46.0,3
552.0,3
553.0,3
575.0,3
576.0,3
584.0,3
585.0,3
79.0,3
80.0,3
81.0,3
82.0,3
595.0,3
594.0,3
83.0,3
84.0,3
85.0,3
86.0,3
596.0,3
610.0,3
613.0,3
615.0,3
619.0,3
627.0,3
632.0,3
633.0,3
122.0,3
123.0,3
124.0,3
125.0,3
126.0,3
127.0,3
128.0,3
129.0,3
130.0,3
151.0,3
152.0,3
666.0,3
157.0,3
158.0,3
159.0,3
167.0,3
168.0,3
683.0,3
692.0,3
693.0,3
694.0,3
698.0,3
699.0,3
193.0,3
710.0,3
213.0,3
218.0,3
219.0,3
222.0,3
223.0,3
235.0,3
760.0,3
263.0,3
264.0,3
801.0,3
299.0,3
813.0,3
815.0,3
313.0,3
314.0,3
328.0,3
377.0,3
378.0,3
379.0,3
385.0,3
386.0,3
389.0,3
390.0,3
393.0,3
410.0,3
411.0,3
418.0,3
432.0,3
433.0,3
434.0,3
435.0,3
436.0,3
479.0,3
481.0,3
542.0,4
543.0,4
55.0,4
56.0,4
57.0,4
58.0,4
59.0,4
60.0,4
61.0,4
62.0,4
63.0,4
580.0,4
586.0,4
587.0,4
588.0,4
87.0,4
88.0,4
89.0,4
603.0,4
617.0,4
618.0,4
109.0,4
629.0,4
136.0,4
145.0,4
664.0,4
665.0,4
171.0,4
172.0,4
173.0,4
174.0,4
176.0,4
181.0,4
182.0,4
183.0,4
184.0,4
700.0,4
191.0,4
195.0,4
708.0,4
709.0,4
198.0,4
199.0,4
200.0,4
707.0,4
202.0,4
205.0,4
206.0,4
207.0,4
721.0,4
724.0,4
725.0,4
726.0,4
727.0,4
735.0,4
766.0,4
767.0,4
786.0,4
790.0,4
791.0,4
792.0,4
793.0,4
287.0,4
288.0,4
289.0,4
290.0,4
803.0,4
802.0,4
358.0,4
359.0,4
360.0,4
361.0,4
362.0,4
415.0,4
416.0,4
417.0,4
427.0,4
428.0,4
429.0,4
430.0,4
437.0,4
438.0,4
439.0,4
440.0,4
485.0,4
489.0,4
492.0,4
496.0,4
497.0,4
768.0,5
769.0,5
770.0,5
771.0,5
4.0,5
5.0,5
6.0,5
7.0,5
648.0,5
8.0,5
9.0,5
10.0,5
11.0,5
12.0,5
13.0,5
143.0,5
144.0,5
785.0,5
146.0,5
661.0,5
662.0,5
807.0,5
808.0,5
809.0,5
810.0,5
647.0,5
706.0,5
451.0,5
452.0,5
453.0,5
454.0,5
715.0,5
716.0,5
717.0,5
718.0,5
719.0,5
728.0,5
601.0,5
730.0,5
600.0,5
602.0,5
733.0,5
731.0,5
729.0,5
734.0,5
732.0,5
624.0,5
625.0,5
626.0,5
113.0,5
114.0,5
115.0,5
116.0,5
759.0,5
765.0,5
354.0,6
355.0,6
132.0,6
133.0,6
134.0,6
135.0,6
356.0,6
778.0,6
779.0,6
558.0,6
559.0,6
47.0,6
48.0,6
49.0,6
50.0,6
797.0,6
224.0,7
225.0,7
226.0,7
227.0,7
228.0,7
229.0,7
230.0,7
231.0,7
232.0,7
233.0,7
234.0,7
684.0,7
685.0,7
514.0,8
515.0,8
516.0,8
517.0,8
711.0,8
712.0,8
745.0,8
746.0,8
747.0,8
748.0,8
713.0,8
714.0,8
329.0,9
330.0,9
331.0,9
332.0,9
333.0,9
334.0,9
335.0,9
336.0,9
337.0,9
338.0,9
194.0,10
753.0,10
659.0,10
660.0,10
376.0,10
282.0,10
283.0,10
284.0,10
285.0,10
520.0,11
521.0,11
522.0,11
523.0,11
310.0,11
311.0,11
312.0,11
65.0,12
66.0,12
67.0,12
68.0,12
536.0,12
537.0,12
796.0,12
673.0,13
674.0,13
675.0,13
676.0,13
677.0,13
678.0,13
493.0,13
325.0,14
326.0,14
679.0,14
680.0,14
681.0,14
682.0,14
250.0,15
251.0,15
252.0,15
253.0,15
555.0,16
556.0,16
557.0,16
